stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
K01252	K01252		iron_aquisition-siderophore_synthesis	K01252	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K01252.hmm	708	321.2	2026-04-21	active
K01582	K01582		iron_aquisition-siderophore_synthesis	K01582	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K01582.hmm	427	556.23	2026-04-21	active
K01780	K01780		iron_aquisition-siderophore_synthesis	K01780	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K01780.hmm	118	163.27	2026-04-21	active
K01851	K01851		iron_aquisition-siderophore_synthesis	K01851	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K01851.hmm	90	519.1	2026-04-21	active
K01909	K01909		iron_aquisition-siderophore_synthesis	K01909	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K01909.hmm	145	429.87	2026-04-21	active
K04759	K04759		iron_aquisition-siderophore_synthesis	K04759	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04759.hmm	4093	105.07	2026-04-21	active
K04788	K04788		iron_aquisition-siderophore_synthesis	K04788	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04788.hmm	165	1500.8	2026-04-21	active
K04789	K04789		iron_aquisition-siderophore_synthesis	K04789	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04789.hmm	147	1334.37	2026-04-21	active
K04790	K04790		iron_aquisition-siderophore_synthesis	K04790	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04790.hmm	128	626.5	2026-04-21	active
K04791	K04791		iron_aquisition-siderophore_synthesis	K04791	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04791.hmm	129	876.87	2026-04-21	active
K04792	K04792		iron_aquisition-siderophore_synthesis	K04792	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04792.hmm	144	1459.93	2026-04-21	active
K04793	K04793		iron_aquisition-siderophore_synthesis	K04793	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K04793.hmm	134	269.0	2026-04-21	active
K05375	K05375		iron_aquisition-siderophore_synthesis	K05375	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K05375.hmm	1491	23.57	2026-04-21	active
